date,low,open,high,close,diff,mean
2020-10-01,9.23,9.69,10.1,9.46,-0.023735810113518954,9.575
2020-10-02,8.94,9.06,9.28,9.2,0.015452538631346444,9.129999999999999
2020-10-05,8.92,9.43,9.49,9.03,-0.04241781548250269,9.23
2020-10-06,8.9,9.04,10.18,9.9,0.095132743362832,9.469999999999999
2020-10-07,9.99,10.04,10.49,10,-0.003984063745019836,10.02
2020-10-08,9.99,10.29,10.4,10,-0.028182701652089328,10.145
2020-10-09,9.89,10.13,10.19,9.95,-0.01776900296150064,10.04
2020-10-12,9.66,10.04,10.05,9.89,-0.014940239043824561,9.965
2020-10-13,9.41,9.88,9.88,9.47,-0.041497975708502034,9.675
2020-10-14,9.29,9.6,9.66,9.34,-0.027083333333333313,9.469999999999999
2020-10-15,9.18,9.27,9.91,9.91,0.06903991370010794,9.59
2020-10-16,9.66,9.94,9.95,9.71,-0.023138832997987795,9.825
2020-10-19,9.53,9.79,9.82,9.57,-0.022471910112359435,9.68
2020-10-20,9.27,9.6,9.66,9.27,-0.03437500000000001,9.434999999999999
2020-10-21,9.2,9.3,9.48,9.2,-0.010752688172043163,9.25
2020-10-22,9.22,9.37,9.75,9.68,0.03308431163287092,9.524999999999999
2020-10-23,9.47,9.71,9.83,9.49,-0.022657054582904287,9.600000000000001
2020-10-26,9.6,9.72,9.97,9.95,0.02366255144032908,9.835
2020-10-27,9.92,10,11.04,10.95,0.09499999999999993,10.475
2020-10-28,10.1,10.66,10.985,10.85,0.01782363977485924,10.754999999999999
2020-10-29,10.56,10.9,11.1,10.75,-0.013761467889908289,10.825
2020-10-30,9.85,10.61,10.68,10.13,-0.045240339302544647,10.370000000000001
2020-11-02,10.23,10.23,10.57,10.54,0.030303030303030176,10.385
2020-11-03,10.44,10.57,10.94,10.5,-0.006622516556291418,10.535
2020-11-04,10.55,10.82,10.92,10.72,-0.009242144177449136,10.77
2020-11-05,10.85,10.9,12.13,11.88,0.08990825688073398,11.39
2020-11-06,12.05,12.22,14.96,13.83,0.13175122749590829,13.025
2020-11-09,14.11,14.93,15.9,14.67,-0.01741460147354319,14.8
2020-11-10,13.18,14.99,15.01,14,-0.06604402935290195,14.495000000000001
2020-11-11,14.4,14.57,15.97,15.96,0.0954015099519561,15.265
2020-11-12,14.41,16.66,17.06,14.58,-0.12484993997599039,15.620000000000001
2020-11-13,14.49,14.49,16,15.8,0.09040717736369913,15.145
2020-11-16,15.01,15.96,16.1,15.93,-0.001879699248120372,15.945
2020-11-17,16.18,16.29,18.75,17.85,0.09576427255985281,17.07
2020-11-18,17.54,18.28,19.25,17.9,-0.020787746170678474,18.09
2020-11-19,17.96,18.5,18.98,18.98,0.02594594594594597,18.740000000000002
2020-11-20,18,19.03,19.66,18.15,-0.04624277456647412,18.59
2020-11-23,18.57,18.63,21.45,21.04,0.1293612453032743,19.835
2020-11-24,20.63,22.35,24.27,23.82,0.06577181208053685,23.085
2020-11-25,23.69,23.96,29.75,29.05,0.21243739565943237,26.505000000000003
2020-11-27,26.12,31.19,33.5,27.66,-0.11317730041680028,29.425
2020-11-30,24.11,28.24,30.15,27.11,-0.04001416430594897,27.674999999999997
2020-12-01,24.45,28.09,28.14,25.67,-0.08615165539337837,26.880000000000003
2020-12-02,21.15,22.24,23.4,22.51,0.012140287769784314,22.375
2020-12-03,23.5,23.55,25.62,24.03,0.020382165605095558,23.79
2020-12-04,23.51,24.88,25.24,23.85,-0.041398713826366465,24.365000000000002
2020-12-07,24.44,24.44,29,28.94,0.18412438625204583,26.69
2020-12-08,27.25,30.63,31.24,28.59,-0.06660137120470125,29.61
2020-12-09,25.33,28.68,28.85,26.63,-0.07147838214783823,27.655
2020-12-10,25.15,25.54,28.04,27.04,0.058731401722787784,26.29
2020-12-11,26.06,27.15,28.27,27.2,0.0018416206261510392,27.174999999999997
2020-12-14,26.7301,28.26,28.26,27.24,-0.036093418259023465,27.75
2020-12-15,25.52,26.82,27.1,26.43,-0.014541387024608523,26.625
2020-12-16,25.11,25.71,26.16,25.92,0.008168028004667477,25.815
2020-12-17,26.05,26.52,27.45,27.23,0.026772247360482688,26.875
2020-12-18,25.8,26.27,26.85,25.97,-0.01141987057480018,26.119999999999997
2020-12-21,25.4,26.19,28.7,28.51,0.08858342878961437,27.35
2020-12-22,26.82,29.03,29.42,28.04,-0.034102652428522284,28.535
2020-12-23,28.05,28.95,29.39,28.69,-0.008981001727115648,28.82
2020-12-24,27.52,28.8,29.16,27.75,-0.036458333333333356,28.275
2020-12-28,25.4,28.39,28.59,25.63,-0.09721733004579082,27.009999999999998
2020-12-29,24.34,25.75,26.1823,24.66,-0.042330097087378636,25.205
2020-12-30,24.63,24.97,25.91,25.1,0.005206247496996498,25.035
2020-12-31,23.52,24.63,24.72,23.55,-0.04384896467722283,24.09
2021-01-04,22.5,23.91,24.5,23.37,-0.022584692597239612,23.64
2021-01-05,22.89,23.18,24.67,24.6,0.0612597066436584,23.89
2021-01-06,23.25,24.12,24.46,23.54,-0.024046434494195763,23.83
2021-01-07,23.67,24.02,25.19,25,0.04079933388842633,24.509999999999998
2021-01-08,24.7,25.7,26.44,25.2,-0.019455252918287938,25.45
2021-01-11,24.31,24.61,26.6,25.93,0.0536367330353515,25.27
2021-01-12,25.51,26.34,26.42,26.18,-0.006074411541381934,26.259999999999998
2021-01-13,25.13,25.71,27.4298,25.5,-0.008168028004667477,25.605
2021-01-14,24.37,25.45,25.62,24.92,-0.020825147347740575,25.185000000000002
2021-01-15,25.46,26.26,28,25.64,-0.023610053313023648,25.950000000000003
2021-01-19,26,26.81,27.54,26.62,-0.007086907870197603,26.715
2021-01-20,25.7,27.29,27.3,26.34,-0.03481128618541588,26.814999999999998
