Time,Open,High,Low,Last,Change,%Chg,Volume
08/07/2020,24.75,26.85,22.66,24.9,3.39,+15.76%,89903296
08/10/2020,24.24,24.75,21.37,21.67,-3.23,-12.97%,26126700
08/11/2020,21.1,21.6,20.04,20.58,-1.09,-5.03%,18118200
08/12/2020,20.65,21.19,19.25,20,-0.58,-2.82%,17365000
08/13/2020,19.2,19.6,18.31,18.74,-1.26,-6.30%,19121300
08/14/2020,20.3,20.49,18.68,18.96,0.22,+1.17%,34817400
08/17/2020,19.39,19.43,18.81,19.04,0.08,+0.42%,8908400
08/18/2020,19.62,20.8,19.1,20.14,1.1,+5.78%,16284100
08/19/2020,20.08,21.66,20,21.4,1.26,+6.26%,16762400
08/20/2020,22.5,24.45,22.2,23.79,2.39,+11.17%,35029000
08/21/2020,24.73,27.2,24.42,25.89,2.1,+8.83%,39128700
08/24/2020,28.8,29.96,27.85,29.11,3.22,+12.44%,41478300
08/25/2020,29.3,29.42,27.11,28.61,-0.5,-1.72%,36330600
08/26/2020,27.68,28.48,26.51,27.32,-1.29,-4.51%,21137500
08/27/2020,27.31,28.97,26.7,27.1,-0.22,-0.81%,17824000
08/28/2020,27.5,28.98,27.1768,28.42,1.32,+4.87%,16563500
08/31/2020,29.33,29.639,26.75,28,-0.42,-1.48%,24922500
09/01/2020,28.2,31,27.8,30.71,2.71,+9.68%,31620700
09/02/2020,33.94,34.4234,30.61,31.31,0.6,+1.95%,62242900
09/03/2020,28.02,29.15,25.8,26.5,-4.81,-15.36%,41944400
09/04/2020,26.81,27,22.56,24.57,-1.93,-7.28%,32980700
09/08/2020,23.02,24.77,22.55,22.74,-1.83,-7.45%,16893700
09/09/2020,23.87,24.97,23.25,23.39,0.65,+2.86%,15817000
09/10/2020,23.73,24.49,23.07,23.15,-0.24,-1.03%,10147800
09/11/2020,23.31,23.49,22.37,22.75,-0.4,-1.73%,8176700
09/14/2020,22.94,24.15,22.9233,23.7,0.95,+4.18%,8672000
09/15/2020,24.15,24.6,23.25,23.36,-0.34,-1.43%,7339100
09/16/2020,23.15,23.54,22.66,22.72,-0.64,-2.74%,8921800
09/17/2020,22,23.54,21.72,22.57,-0.15,-0.66%,7994800
09/18/2020,22.71,23.04,22.18,22.27,-0.3,-1.33%,14445100
09/21/2020,21.5,22.09,21.11,21.42,-0.85,-3.82%,8183400
09/22/2020,21.62,22.06,21.1884,21.57,0.15,+0.70%,7409700
09/23/2020,21.65,22.219,20.1901,20.3,-1.27,-5.89%,11700900
09/24/2020,20,20.8,19.37,20.06,-0.24,-1.18%,11048700
09/25/2020,20.35,21.19,20.01,20.52,0.46,+2.29%,8393000
09/28/2020,20.82,21,20.26,20.67,0.15,+0.73%,6690700
09/29/2020,20.5,20.68,19.9,20.07,-0.6,-2.90%,7091100
09/30/2020,20.03,20.3558,19.8407,19.93,-0.14,-0.70%,6718200
10/01/2020,19.97,22.93,19.9,22.66,2.73,+13.70%,27027200
10/02/2020,21.38,23.1,21.25,23,0.34,+1.50%,17008600
10/05/2020,23,23.4,22.1301,22.56,-0.44,-1.91%,12424500
10/06/2020,22.56,22.88,21.3942,21.72,-0.84,-3.72%,8083900
10/07/2020,22,22.13,21.52,21.7,-0.02,-0.09%,5506700
10/08/2020,21.83,23.39,21.66,22.73,1.03,+4.75%,13169100
10/09/2020,23.69,23.99,22.6,22.96,0.23,+1.01%,16426700
10/12/2020,22.77,23.48,22.26,23.14,0.18,+0.78%,12646800
10/13/2020,23.06,23.93,22.95,23.58,0.44,+1.90%,13230000
10/14/2020,23.99,23.99,22.68,22.76,-0.82,-3.48%,8855800
10/15/2020,22.27,22.81,21.91,22.35,-0.41,-1.80%,5943000
10/16/2020,22.49,22.84,21.82,21.91,-0.44,-1.97%,6171400
10/19/2020,22.01,22.13,20.73,20.74,-1.17,-5.34%,7174500
10/20/2020,21,21.02,20.25,20.56,-0.18,-0.87%,6737100
10/21/2020,20.48,20.61,19.94,20.01,-0.55,-2.68%,7742600
10/22/2020,20.11,20.53,19.77,20.25,0.24,+1.20%,8436600
10/23/2020,20.34,21.07,19.95,20.57,0.32,+1.58%,8703500
10/26/2020,20.2,20.585,19.71,19.88,-0.69,-3.35%,7427700
10/27/2020,19.95,20.715,19.66,20.11,0.23,+1.16%,9098500
10/28/2020,19.7,19.87,18.63,18.65,-1.46,-7.26%,12631600
10/29/2020,18.87,19.18,18.58,18.9,0.25,+1.34%,7277700
10/30/2020,18.73,18.88,17.78,18.23,-0.67,-3.54%,9389900
11/02/2020,18.4,19.1099,18.2,18.93,0.7,+3.84%,6602200
11/03/2020,19.18,19.99,19.14,19.38,0.45,+2.38%,9316300
11/04/2020,20.09,21.1,20.05,20.62,1.24,+6.40%,9510200
11/05/2020,21.23,21.57,20.71,20.95,0.33,+1.60%,8553800
11/06/2020,21,21.5,20.61,21.31,0.36,+1.72%,8208900
11/09/2020,22.19,22.41,20.22,21.45,0.14,+0.66%,18543700
11/10/2020,21.56,22.29,20.8,21.6,0.15,+0.70%,22762600
11/11/2020,21.6,21.71,20.56,21.06,-0.54,-2.50%,20671400
11/12/2020,21.16,22.02,21.07,21.79,0.73,+3.47%,19414200
11/13/2020,22.04,22.31,21.53,21.85,0.06,+0.28%,10839100
11/16/2020,21.92,22.745,21.91,22.65,0.8,+3.66%,15321800
11/17/2020,22.23,22.99,22.05,22.2,-0.45,-1.99%,9188900
11/18/2020,22.23,22.58,21.13,21.16,-1.04,-4.68%,10094100
11/19/2020,21.1,21.55,20.9,21.26,0.1,+0.47%,6883100
11/20/2020,21.21,21.42,20.63,20.96,-0.3,-1.41%,7795900
11/23/2020,21,21.15,20.22,20.3,-0.66,-3.15%,11392600
11/24/2020,20.43,21.48,19.9126,20.83,0.53,+2.61%,19963000
11/25/2020,20.84,20.97,20.41,20.42,-0.41,-1.97%,9112800
11/27/2020,20.58,20.65,20.13,20.25,-0.17,-0.83%,6314500
11/30/2020,20.2,20.75,19.65,20.72,0.47,+2.32%,11797900
12/01/2020,20.95,20.955,20.08,20.19,-0.53,-2.56%,9115000
