date,low,open,high,close,diff,mean
2020-08-07,22.66,24.75,26.85,24.9,0.006060606060606003,24.825
2020-08-10,21.37,24.24,24.75,21.67,-0.10602310231023089,22.955
2020-08-11,20.04,21.1,21.6,20.58,-0.024644549763033322,20.84
2020-08-12,19.25,20.65,21.19,20,-0.03147699757869243,20.325
2020-08-13,18.31,19.2,19.6,18.74,-0.02395833333333338,18.97
2020-08-14,18.68,20.3,20.49,18.96,-0.06600985221674877,19.630000000000003
2020-08-17,18.81,19.39,19.43,19.04,-0.01805054151624556,19.215
2020-08-18,19.1,19.62,20.8,20.14,0.026503567787971433,19.880000000000003
2020-08-19,20,20.08,21.66,21.4,0.06573705179282871,20.74
2020-08-20,22.2,22.5,24.45,23.79,0.0573333333333333,23.145
2020-08-21,24.42,24.73,27.2,25.89,0.0469065911847958,25.310000000000002
2020-08-24,27.85,28.8,29.96,29.11,0.010763888888888844,28.955
2020-08-25,27.11,29.3,29.42,28.61,-0.02354948805460755,28.955
2020-08-26,26.51,27.68,28.48,27.32,-0.013005780346820789,27.5
2020-08-27,26.7,27.31,28.97,27.1,-0.007689491028927034,27.205
2020-08-28,27.1768,27.5,28.98,28.42,0.033454545454545515,27.96
2020-08-31,26.75,29.33,29.639,28,-0.04534606205250591,28.665
2020-09-01,27.8,28.2,31,30.71,0.08900709219858162,29.455
2020-09-02,30.61,33.94,34.4234,31.31,-0.07748968768414848,32.625
2020-09-03,25.8,28.02,29.15,26.5,-0.05424696645253389,27.259999999999998
2020-09-04,22.56,26.81,27,24.57,-0.08355091383812005,25.689999999999998
2020-09-08,22.55,23.02,24.77,22.74,-0.012163336229365818,22.88
2020-09-09,23.25,23.87,24.97,23.39,-0.020108923334729804,23.630000000000003
2020-09-10,23.07,23.73,24.49,23.15,-0.024441635061104167,23.439999999999998
2020-09-11,22.37,23.31,23.49,22.75,-0.024024024024023972,23.03
2020-09-14,22.9233,22.94,24.15,23.7,0.03312990409764594,23.32
2020-09-15,23.25,24.15,24.6,23.36,-0.03271221532091094,23.755
2020-09-16,22.66,23.15,23.54,22.72,-0.018574514038876878,22.935
2020-09-17,21.72,22,23.54,22.57,0.025909090909090923,22.285
2020-09-18,22.18,22.71,23.04,22.27,-0.019374724790841093,22.490000000000002
2020-09-21,21.11,21.5,22.09,21.42,-0.0037209302325580604,21.46
